seq,canonical_rank,u,v,boundary_frame,transaction_type,temporal_block,full_idtp_delta_norm,geometry_positive,geometry_utility,motion_multitask,geometry_positive_rank,geometry_utility_rank,motion_multitask_rank,union_rank
MOT17-02-FRCNN,12,12,25,30,v_to_u,0,-0.135135135135,0.840975746723,-0.120825686075,0.328646006363,9,164,520,9
MOT17-02-FRCNN,14,14,25,30,v_to_u,0,-0.083333333333,0.831059317396,-0.076971184842,0.146131571311,18,78,929,18
MOT17-02-FRCNN,19,19,25,30,v_to_u,0,0.368421052632,0.766051228983,-0.12805843656,1.101768691942,90,180,6,6
MOT17-02-FRCNN,20,20,25,30,v_to_u,0,0.068493150685,0.731276776662,-0.087465049796,1.07655226154,164,96,9,9
MOT17-02-FRCNN,48,23,26,40,u_to_v,0,0.0,0.038469681463,-0.028292081931,0.916589260805,921,26,22,22
MOT17-02-FRCNN,77,5,11,46,v_to_u,0,-0.10101010101,0.231612508475,-0.100574876431,0.914464664305,685,124,23,23
MOT17-02-FRCNN,156,14,30,61,v_to_u,0,-0.169444444444,0.826654593668,-0.132885939979,0.491524898341,23,187,174,23
MOT17-02-FRCNN,161,20,30,61,v_to_u,0,0.095890410959,0.826149840977,-0.120060961661,0.447517226611,25,160,239,25
MOT17-02-FRCNN,164,24,30,61,v_to_u,0,-0.054481546573,0.168534351248,-0.062139678377,0.835996473512,751,57,28,28
MOT17-02-FRCNN,165,27,30,61,v_to_u,0,-0.097674418605,0.824676467555,-0.088916267078,0.359992821372,31,99,430,31
MOT17-02-FRCNN,207,18,21,78,u_to_v,0,-0.013513513514,0.078895292113,-0.010155259055,0.41722201722,861,8,301,8
MOT17-02-FRCNN,215,18,34,78,u_to_v,0,0.0,0.117132545906,-0.020033625432,0.733451680526,819,20,46,20
MOT17-02-FRCNN,233,20,34,79,v_to_u,0,0.046575342466,0.826069812198,-0.146859257099,0.182073100168,26,228,848,26
MOT17-02-FRCNN,234,21,34,79,v_to_u,0,-0.012987012987,0.550570887868,-0.015830199111,0.66122952539,439,14,61,14
MOT17-02-FRCNN,266,21,33,81,u_to_v,0,-0.022471910112,0.05924849465,-0.03287592242,0.411440373766,891,31,311,31
MOT17-02-FRCNN,283,19,33,84,v_to_u,0,0.409090909091,0.692020782063,-0.159181854355,1.037141997156,243,257,14,14
MOT17-02-FRCNN,306,17,41,117,v_to_u,0,-0.008403361345,0.521210177006,-0.007515566164,0.745148190301,464,5,41,5
MOT17-02-FRCNN,320,40,41,117,v_to_u,0,0.013793103448,0.825007966045,-0.054711239773,0.313759494389,29,47,563,29
MOT17-02-FRCNN,342,17,35,118,u_to_v,0,-0.018181818182,0.110995350814,-0.018157042315,0.643690221692,826,16,66,16
MOT17-02-FRCNN,346,17,39,118,u_to_v,0,0.0,0.124902851794,-0.017788564017,0.737603913019,813,15,43,15
MOT17-02-FRCNN,351,4,39,119,v_to_u,0,-0.387622149837,0.829151547829,-0.2248563435,0.23215901515,19,438,736,19
MOT17-02-FRCNN,367,31,39,119,v_to_u,0,-0.066445182724,0.825168383824,-0.15089127982,0.200722914569,28,236,809,28
MOT17-02-FRCNN,390,24,35,122,v_to_u,0,-0.219155844156,0.227922441293,-0.158973222681,0.830110442098,688,256,29,29
MOT17-02-FRCNN,437,15,44,129,v_to_u,0,-0.460714285714,0.844352610932,-0.114822468441,1.055276475643,5,145,13,5
MOT17-02-FRCNN,438,16,44,129,v_to_u,0,-0.410828025478,0.837202275794,-0.14086881687,0.870591881476,13,213,25,13
MOT17-02-FRCNN,459,9,47,141,v_to_u,0,-0.020833333333,0.128112176694,-0.02159839291,0.444368353508,808,21,247,21
MOT17-02-FRCNN,463,15,47,141,v_to_u,0,-0.496428571429,0.843753903253,-0.137038156718,1.056978063489,6,200,12,6
MOT17-02-FRCNN,464,16,47,141,v_to_u,0,-0.449044585987,0.824720080849,-0.13470109009,0.999351494138,30,195,16,16
MOT17-02-FRCNN,479,46,47,141,v_to_u,0,-0.012048192771,0.612252095631,-0.071810749478,1.323594239,362,70,2,2
MOT17-02-FRCNN,487,9,49,143,v_to_u,0,-0.006944444444,0.190971530126,-0.01525070093,0.516014648577,726,13,152,13
MOT17-02-FRCNN,490,14,49,143,v_to_u,0,-0.397222222222,0.843124096716,-0.217167093429,0.553902640723,8,397,112,8
MOT17-02-FRCNN,494,20,49,143,v_to_u,0,-0.128767123288,0.826721162878,-0.224330454708,0.206984633935,22,435,793,22
MOT17-02-FRCNN,503,38,49,143,v_to_u,0,-0.091185410334,0.835868645955,-0.08919900585,0.126380723566,15,100,958,15
MOT17-02-FRCNN,516,9,50,145,v_to_u,0,0.0,0.163377436659,-0.006695693318,0.746255208152,759,4,40,4
MOT17-02-FRCNN,526,27,50,145,v_to_u,0,-0.209302325581,0.837358709984,-0.24304492766,0.719437510004,12,523,49,12
MOT17-02-FRCNN,527,29,50,145,v_to_u,0,0.088888888889,0.772973148421,-0.031138970321,0.808704293831,77,29,31,29
MOT17-02-FRCNN,532,38,50,145,v_to_u,0,-0.09726443769,0.838893377412,-0.09452891561,0.355646263781,11,114,446,11
MOT17-02-FRCNN,533,40,50,145,v_to_u,0,0.114186851211,0.82757113715,-0.104408426268,0.335429788816,21,127,500,21
MOT17-02-FRCNN,536,46,50,145,v_to_u,0,-0.036144578313,0.774194796226,-0.055584294394,0.987324018661,75,48,17,17
MOT17-02-FRCNN,555,9,29,146,u_to_v,0,0.0,0.034578474411,-0.026324509997,0.287634793968,930,25,635,25
MOT17-02-FRCNN,578,19,45,152,v_to_u,0,0.0,0.582163830438,-0.018252525822,0.371050657555,401,17,395,17
MOT17-02-FRCNN,583,29,45,152,v_to_u,0,0.0,0.543856939358,-0.010105257384,0.424456332609,448,7,285,7
MOT17-02-FRCNN,604,15,52,153,v_to_u,0,-0.451957295374,0.843177826686,-0.10880847176,0.95049336411,7,136,21,7
MOT17-02-FRCNN,605,16,52,153,v_to_u,0,-0.479365079365,0.84661870972,-0.120355848524,0.895130446428,3,161,24,3
MOT17-02-FRCNN,606,19,52,153,v_to_u,0,0.0,0.632335574952,-0.018371179727,0.406571790159,335,18,319,18
MOT17-02-FRCNN,611,29,52,153,v_to_u,0,0.0,0.564091395091,-0.008429037874,0.709492544044,429,6,50,6
MOT17-02-FRCNN,634,19,29,154,v_to_u,0,0.0,0.081706563164,-0.011525912018,0.384226301482,858,9,369,9
MOT17-02-FRCNN,646,29,46,154,u_to_v,0,-0.28515625,0.534389889749,-0.175244456647,1.081126410523,456,283,8,8
MOT17-02-FRCNN,703,51,54,176,u_to_v,0,-0.245901639344,0.632073119973,-0.163505241351,1.265131903606,336,264,4,4
