seq,canonical_rank,u,v,boundary_frame,transaction_type,executor_accepted,outer_clean_transaction_score,pred_expected,pred_q25,pred_median,prob_positive,prob_negative,prob_catastrophic,prob_margin,delta_HOTA,delta_HOTA_norm,ranking_score,rank_start,rank_end,certificate_gate,certificate_pass,lcb_expected,lcb_median,null_p_value,outer_held_out_seq
MOT20-01,25,17,29,280,v_to_u,1,0.516349127362,-0.029149925083,-0.104814338126,-0.025769357786,0.504597478177,0.451550814251,0.003862478378,0.045321707171,0.040357,0.555642228128,0.042406714663,21,40,no_op,0,,,,MOT20-01
MOT20-01,60,24,26,272,u_to_v,1,0.371521067865,-0.476527365149,-0.581321062122,-0.20017257618,0.352536320215,0.624526023027,0.0,-0.271989702812,-0.528063,-7.270463659634,-0.319642439327,41,60,no_op,0,,,,MOT20-01
MOT20-01,74,17,29,181,v_to_u,1,0.319370968902,-0.058546421945,-0.07145672973,-0.049394871267,0.295975150521,0.703281525568,0.010869752675,-0.429045880398,0.040357,0.555642228128,-0.434900522592,61,80,no_op,0,,,,MOT20-01
MOT20-01,90,17,29,276,v_to_u,1,0.247551671256,-0.034091931127,-0.052486143853,-0.03571196235,0.470033835605,0.484383478596,0.007047151744,-0.028443946479,0.040357,0.555642228128,-0.031853139592,81,100,no_op,0,,,,MOT20-01
MOT20-02,21,36,60,175,u_to_v,1,0.687892400434,0.004849179204,-0.038435149644,0.076509377444,0.405554324916,0.496515424293,0.003568004802,-0.098097108981,-0.00204,-0.102,0.051985100199,21,40,no_op,0,,,,MOT20-02
MOT20-02,49,180,232,1409,v_to_u,1,0.621846031521,0.000818721092,-0.014793830317,0.030043217709,0.349927036362,0.630608798507,0.0,-0.280681762145,0.000196,0.0098,-0.040127222828,41,60,no_op,0,,,,MOT20-02
MOT20-02,73,312,412,2043,v_to_u,1,0.58208871996,0.01078229398,-0.021968116704,0.033539245371,0.773495300553,0.206477294111,0.002177323421,0.562663359601,-0.00954,-0.476999999999,0.174205085272,61,80,no_op,0,,,,MOT20-02
MOT20-02,99,413,431,2438,u_to_v,1,0.544486490285,0.008113015599,-0.192639880372,0.003037230927,0.579591757872,0.468222793858,0.012490294304,0.086388375405,-0.01027,-0.5135,0.024634324778,81,100,no_op,0,,,,MOT20-02
MOT20-03,27,355,403,2122,v_to_u,1,0.623293399572,0.009829659496,-0.0831355414,0.012696634644,0.871817248137,0.152251172957,0.032920443369,0.653725188441,5.5e-05,0.002749999999,0.654708154391,21,40,no_op,0,,,,MOT20-03
MOT20-03,42,305,414,1760,v_to_u,1,0.54637919942,-0.037232899873,-0.077136634575,-0.011109002814,0.453718208125,0.494687842621,0.041113651781,-0.123196938058,-0.000517,-0.02585,-0.126920228045,41,60,no_op,0,,,,MOT20-03
MOT20-03,64,288,337,1994,v_to_u,1,0.494778856395,-0.074351296644,-0.032466185505,0.150330834691,0.446335897023,0.552265033502,0.036199866433,-0.178328869346,-0.000344,-0.017200000001,-0.18576399901,61,80,no_op,0,,,,MOT20-03
MOT20-03,94,131,280,1199,u_to_v,1,0.441819936043,0.0318365479,-0.124162780036,0.013628700839,0.735086481229,0.180268873576,0.065972570366,0.422872466922,-0.0001,-0.005,0.426056121712,81,100,no_op,0,,,,MOT20-03
MOT20-05,24,1413,1421,2924,v_to_u,1,0.673278729372,0.004577902943,-0.189996586645,-0.098948919566,0.641269249983,0.343729686136,0.002321729049,0.292896105749,0.000321,0.01605,-0.025724893129,21,40,no_op,0,,,,MOT20-05
MOT20-05,57,1054,1150,1952,v_to_u,1,0.580302437332,0.024769420499,-0.017024503868,-0.063164004695,0.743110594247,0.272973699151,0.016930953616,0.436274987863,-2.4e-05,-0.001200000001,0.045904742271,41,60,no_op,0,,,,MOT20-05
MOT20-05,62,3,494,1013,v_to_u,1,0.572834478124,-0.041813369652,-0.117957022857,-0.024561165289,0.546880659809,0.457155402024,0.016436492698,0.056852272388,-0.002614,-0.1307,-0.010348097192,61,80,no_op,0,,,,MOT20-05
MOT20-05,96,1377,1380,3218,v_to_u,1,0.543461427106,-0.018182923506,-0.032719860644,0.019709976181,0.704218122254,0.283955976358,0.006981504745,0.406299136407,-0.002264,-0.1132,0.121284760283,81,100,no_op,0,,,,MOT20-05
