seq,canonical_rank,u,v,boundary_frame,transaction_type,frame,frames_after_handoff,baseline_label,edited_label,matched_gt_id,matched_gt_iou,donor_dominant_gt_full,receiver_dominant_gt_full,aggregate_receiver_dominant_gt_full,row_class
MOT17-02-FRCNN,1,13,25,30,v_to_u,31,0,13,25,15,0.932377238425,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,32,1,13,25,15,0.909465150862,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,33,2,13,25,15,0.907762994353,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,34,3,13,25,15,0.857773590856,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,35,4,13,25,15,0.868968741959,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,36,5,13,25,15,0.845602678664,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,37,6,13,25,15,0.833615038861,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,38,7,13,25,15,0.811940179391,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,39,8,13,25,15,0.841532050191,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,40,9,13,25,15,0.825660702611,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,41,10,13,25,15,0.8325864044,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,42,11,13,25,15,0.816497389887,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,43,12,13,25,15,0.852026648275,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,44,13,13,25,15,0.873207122738,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,45,14,13,25,15,0.888718577586,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,46,15,13,25,15,0.874371722162,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,47,16,13,25,15,0.892901508621,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,48,17,13,25,15,0.943589719828,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,49,18,13,25,15,0.932792237612,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,50,19,13,25,15,0.882489227133,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,51,20,13,25,15,0.924114030419,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,52,21,13,25,15,0.919993696884,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,53,22,13,25,15,0.91707963054,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,54,23,13,25,15,0.918915704096,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,55,24,13,25,15,0.921602480325,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,56,25,13,25,15,0.934191422621,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,57,26,13,25,15,0.936437345692,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,58,27,13,25,15,0.879541966245,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,59,28,13,25,15,0.856348976635,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,60,29,13,25,15,0.875163790591,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,61,30,13,25,15,0.897190150862,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,62,31,13,25,15,0.880399347826,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,63,32,13,25,15,0.903593847826,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,64,33,13,25,15,0.898377407156,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,65,34,13,25,15,0.871908894818,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,66,35,13,25,15,0.853046971871,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,67,36,13,25,15,0.837299439395,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,68,37,13,25,15,0.838402691974,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,69,38,13,25,15,0.808889545287,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,70,39,13,25,15,0.778015812383,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,71,40,13,25,15,0.742317442838,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,72,41,13,25,15,0.74928550108,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,73,42,13,25,15,0.750656586764,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,74,43,13,25,15,0.751497720473,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,75,44,13,25,15,0.755481581526,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,76,45,13,25,15,0.786796799113,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,77,46,13,25,15,0.777720146593,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,78,47,13,25,15,0.791216158674,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,79,48,13,25,15,0.811968446149,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,80,49,13,25,15,0.82559310267,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,81,50,13,25,15,0.845475775904,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,82,51,13,25,15,0.881026036658,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,83,52,13,25,15,0.905613950966,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,84,53,13,25,15,0.9286508266,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,85,54,13,25,15,0.9297533026,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,86,55,13,25,15,0.92790345502,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,87,56,13,25,15,0.936984295305,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,88,57,13,25,15,0.917056186076,-1,15,15,harm
MOT17-02-FRCNN,1,13,25,30,v_to_u,89,58,13,25,15,0.901753421691,-1,15,15,harm
