sequence,frame,target_gt_id,inherited_track_id,gap_pair_id,gap_frames,minimum_segment_purity,matched_segment_support,candidate_row_index,global_pre_idx,candidate_track_id,candidate_score,target_iou,maximum_context_iou,context_exclusive
MOT20-01,8,30,29,18,12,1.0,83,113,2420,17,0.8347934484481812,0.6079609110639411,0.9999999882685818,False
MOT20-01,9,30,29,18,12,1.0,83,127,2738,17,0.8699823021888733,0.6465822954007205,0.9999999875266712,False
MOT20-01,10,30,29,18,12,1.0,83,145,3087,17,0.8485764861106873,0.6315078719053043,0.999999987318744,False
MOT20-01,12,30,29,18,12,1.0,83,173,3726,17,0.8689370155334473,0.6622866967360993,0.999999987862894,False
MOT20-01,13,30,29,18,12,1.0,83,185,4022,17,0.8235586881637573,0.7113947295903237,0.9677681135689898,False
MOT20-01,14,30,29,18,12,1.0,83,202,4376,17,0.8854055404663086,0.6753660007878333,0.9999999856135323,False
MOT20-01,30,37,15,5,3,1.0,204,449,9850,0,0.41136863827705383,0.6160278537727367,0.49906565534303066,True
MOT20-01,102,77,24,9,2,1.0,227,1531,34624,46,0.8506546020507812,0.8984864184635118,0.9999999924786992,False
MOT20-01,103,77,24,9,2,1.0,227,1552,35061,0,0.8326826691627502,0.8288714762982808,0.0768738420578151,True
MOT20-01,111,30,29,19,16,1.0,94,1677,37959,17,0.7614911794662476,0.8140302536064556,0.9999999829769174,False
MOT20-01,147,28,28,16,5,0.9942528735632183,320,2231,51773,5,0.6356983780860901,0.5290044666590968,0.9398639476460007,False
MOT20-01,150,28,28,16,5,0.9942528735632183,320,2279,53148,12,0.10076624155044556,0.6923384507971184,0.603970528169399,False
MOT20-01,151,28,28,16,5,0.9942528735632183,320,2290,53304,12,0.746791660785675,0.5159297084009126,0.99999998921272,False
MOT20-01,156,23,25,14,1,1.0,283,2362,55216,21,0.8661365509033203,0.8433595381832373,0.7164812724244545,False
MOT20-01,157,22,21,7,1,1.0,316,2375,55681,25,0.8588162064552307,0.81944583675277,0.7097520348902975,False
MOT20-01,162,26,5,3,1,0.7007874015748031,288,2462,57903,10,0.660956621170044,0.7517765600201854,0.999999990349444,False
MOT20-01,174,60,58,31,11,0.9065040650406504,255,2642,62990,54,0.8701962828636169,0.5563087138439784,0.9532361331532494,False
MOT20-01,176,60,58,31,11,0.9065040650406504,255,2677,63902,54,0.5858542919158936,0.5462801231435886,0.9434715442772049,False
MOT20-01,177,60,58,31,11,0.9065040650406504,255,2698,64451,54,0.8958578109741211,0.5758662164142212,0.9690331270643737,False
MOT20-01,178,60,58,31,11,0.9065040650406504,255,2709,64806,54,0.72156822681427,0.5740943102421374,0.9532784210815705,False
MOT20-01,180,60,58,31,11,0.9065040650406504,255,2743,65694,54,0.8858497738838196,0.6145167209025093,0.9561638907975509,False
MOT20-01,181,60,58,31,11,0.9065040650406504,255,2759,66152,54,0.8243499994277954,0.6130404016028843,0.9999999923980599,False
MOT20-01,183,60,58,31,11,0.9065040650406504,255,2787,67004,60,0.7885832786560059,0.6455083954395655,0.9999999870885594,False
MOT20-01,192,32,38,25,2,1.0,178,2943,71467,48,0.17534701526165009,0.751661129000241,0.5400740209230758,False
MOT20-01,208,32,38,26,9,1.0,19,3185,78511,0,0.25803372263908386,0.7251789545971182,0.404510987599049,True
MOT20-01,209,32,38,26,9,1.0,19,3202,78964,0,0.24248480796813965,0.6777254553364666,0.4202006279753586,True
MOT20-01,212,32,38,26,9,1.0,19,3254,80519,59,0.30780553817749023,0.9288078927770559,0.5786753947250245,False
MOT20-01,221,6,3,1,2,1.0,220,3394,84815,0,0.7669461369514465,0.9219973890587215,0.03390840223780661,True
MOT20-01,223,32,38,27,3,0.95,28,3424,85550,72,0.1745861917734146,0.880020617642671,0.5001367475628851,False
MOT20-01,261,64,83,39,5,1.0,38,4013,103111,77,0.8099836111068726,0.8681779005429496,0.7468089720724886,False
MOT20-01,262,64,83,39,5,1.0,38,4030,103603,77,0.8346198201179504,0.6646416710922571,0.9999999833691665,False
MOT20-01,263,64,83,39,5,1.0,38,4045,104069,77,0.8169063329696655,0.676598794704551,0.9999999739886921,False
MOT20-01,264,64,83,39,5,1.0,38,4061,104515,77,0.8059608340263367,0.8106428309585427,0.8098406215720911,False
MOT20-01,265,64,83,39,5,1.0,38,4075,104999,77,0.8238797187805176,0.5591222636035408,0.9999999779652607,False
MOT20-01,274,77,24,10,11,1.0,130,4224,109455,26,0.48222842812538147,0.638855102115155,0.8091814766528759,False
MOT20-01,275,77,24,10,11,1.0,130,4242,109960,26,0.34416499733924866,0.6288476892296159,0.7653342619169613,False
MOT20-01,276,77,24,10,11,1.0,130,4261,110448,26,0.42724743485450745,0.7384075881875929,0.8944776616721771,False
MOT20-01,277,77,24,10,11,1.0,130,4266,110786,26,0.7733234763145447,0.707368642267635,0.9561061899071278,False
MOT20-01,278,77,24,10,11,1.0,130,4289,111404,26,0.410640150308609,0.6267773101603353,0.7725674404862002,False
MOT20-01,279,77,24,10,11,1.0,130,4303,111889,26,0.7272714972496033,0.6639478545978598,0.816072551089081,False
MOT20-01,280,77,24,10,11,1.0,130,4314,112236,26,0.6873224973678589,0.8123164975765563,0.8743177388886169,False
MOT20-01,281,77,24,10,11,1.0,130,4330,112723,26,0.6705028414726257,0.807703965546735,0.8357295173314864,False
MOT20-01,282,77,24,10,11,1.0,130,4346,113218,26,0.6296871304512024,0.8182570935898713,0.8310136392667844,False
MOT20-01,283,77,24,10,11,1.0,130,4362,113696,26,0.7003785967826843,0.7599320893518589,0.8190712574709715,False
MOT20-01,284,77,24,10,11,1.0,130,4378,114188,26,0.7328436970710754,0.7470109190793037,0.8092351468494692,False
MOT20-01,287,64,83,40,1,1.0,24,4428,115673,74,0.8340274095535278,0.9160665874194774,0.7783582503420724,False
MOT20-01,289,77,24,11,17,1.0,53,4458,116612,26,0.7163743376731873,0.7520042279167038,0.8298088553830455,False
MOT20-01,289,47,59,32,24,1.0,197,4471,116945,55,0.5187787413597107,0.701120986688639,0.8800849922258053,False
MOT20-01,290,77,24,11,17,1.0,53,4475,117079,26,0.583169162273407,0.7804084764645003,0.7261810276956387,False
MOT20-01,290,47,59,32,24,1.0,197,4486,117421,55,0.4186316728591919,0.8040262157952104,0.7599104165870877,False
MOT20-01,291,77,24,11,17,1.0,53,4491,117562,26,0.7263106107711792,0.7490829678730044,0.9999999812295803,False
MOT20-01,291,64,83,41,1,1.0,141,4499,117702,74,0.7947803735733032,0.7957594657694999,0.7847580907080665,False
MOT20-01,292,77,24,11,17,1.0,53,4507,118022,26,0.7005534172058105,0.7504572645374313,0.9999999873464538,False
MOT20-01,293,77,24,11,17,1.0,53,4523,118488,26,0.28008779883384705,0.6886645905451464,0.5113037056577157,False
MOT20-01,293,61,74,37,1,1.0,90,4530,118618,83,0.708183765411377,0.5462748392215059,0.9999999784904846,False
MOT20-01,294,77,24,11,17,1.0,53,4538,118931,26,0.7028985023498535,0.7396848361100967,0.8187582413098777,False
MOT20-01,295,77,24,11,17,1.0,53,4554,119388,26,0.7752590179443359,0.6812614155563439,0.9002759621398084,False
MOT20-01,296,77,24,11,17,1.0,53,4570,119837,26,0.7208258509635925,0.6934283738990906,0.8868925808744702,False
MOT20-01,297,77,24,11,17,1.0,53,4586,120304,26,0.7808117866516113,0.6573952332119901,0.9110442987812057,False
MOT20-01,298,77,24,11,17,1.0,53,4602,120764,26,0.7904702425003052,0.6603224691952598,0.9104884023681801,False
MOT20-01,299,77,24,11,17,1.0,53,4618,121217,26,0.763511061668396,0.6412353154465236,0.9514149561000763,False
MOT20-01,299,47,59,32,24,1.0,197,4633,121676,0,0.318857878446579,0.6936593243370864,0.45694819926867863,True
MOT20-01,300,77,24,11,17,1.0,53,4634,121687,26,0.41626882553100586,0.6003651989266833,0.9145021817005275,False
MOT20-01,300,47,59,32,24,1.0,197,4648,121980,55,0.47928109765052795,0.8877350569825536,0.5573391365761107,False
MOT20-01,301,77,24,11,17,1.0,53,4650,122152,26,0.7820727229118347,0.5447879685302687,0.92873631133534,False
MOT20-01,302,77,24,11,17,1.0,53,4667,122616,0,0.2850519120693207,0.5245474505608195,0.27913101827026837,True
MOT20-01,303,77,24,11,17,1.0,53,4689,123202,0,0.2662975788116455,0.8480360384407223,0.49165795422979996,True
MOT20-01,304,77,24,11,17,1.0,53,4699,123544,0,0.21467407047748566,0.57052184339311,0.31082161917843737,True
